boundary,x_c,y_c,nx,ny,A
left,0.0,0.052625,-1.0,0.0,2.5e-06
left,0.0,0.052875,-1.0,0.0,2.5e-06
left,0.0,0.053125,-1.0,0.0,2.5e-06
left,0.0,0.053375,-1.0,0.0,2.5e-06
left,0.0,0.053625,-1.0,0.0,2.5e-06
left,0.0,0.053875,-1.0,0.0,2.5e-06
left,0.0,0.054125,-1.0,0.0,2.5e-06
left,0.0,0.054375,-1.0,0.0,2.5e-06
left,0.0,0.054625,-1.0,0.0,2.5e-06
left,0.0,0.054875,-1.0,0.0,2.5e-06
left,0.0,0.055125,-1.0,0.0,2.5e-06
left,0.0,0.055375,-1.0,0.0,2.5e-06
left,0.0,0.055625,-1.0,0.0,2.5e-06
left,0.0,0.055875,-1.0,0.0,2.5e-06
left,0.0,0.056125,-1.0,0.0,2.5e-06
left,0.0,0.056375,-1.0,0.0,2.5e-06
left,0.0,0.056625,-1.0,0.0,2.5e-06
left,0.0,0.056875,-1.0,0.0,2.5e-06
left,0.0,0.057125,-1.0,0.0,2.5e-06
left,0.0,0.057375,-1.0,0.0,2.5e-06
left,0.0,0.057625,-1.0,0.0,2.5e-06
left,0.0,0.057875,-1.0,0.0,2.5e-06
left,0.0,0.058125,-1.0,0.0,2.5e-06
left,0.0,0.058375,-1.0,0.0,2.5e-06
left,0.0,0.058625000000000003,-1.0,0.0,2.5e-06
left,0.0,0.058875000000000004,-1.0,0.0,2.5e-06
left,0.0,0.059125000000000004,-1.0,0.0,2.5e-06
left,0.0,0.059375000000000004,-1.0,0.0,2.5e-06
left,0.0,0.059625000000000004,-1.0,0.0,2.5e-06
left,0.0,0.059875000000000005,-1.0,0.0,2.5e-06
left,0.0,0.060125,-1.0,0.0,2.5e-06
left,0.0,0.060375,-1.0,0.0,2.5e-06
left,0.0,0.060625,-1.0,0.0,2.5e-06
left,0.0,0.060875,-1.0,0.0,2.5e-06
left,0.0,0.061125,-1.0,0.0,2.5e-06
left,0.0,0.061375,-1.0,0.0,2.5e-06
left,0.0,0.061625,-1.0,0.0,2.5e-06
left,0.0,0.061875,-1.0,0.0,2.5e-06
left,0.0,0.062125,-1.0,0.0,2.5e-06
left,0.0,0.062375,-1.0,0.0,2.5e-06
left,0.0,0.062625,-1.0,0.0,2.5e-06
left,0.0,0.062875,-1.0,0.0,2.5e-06
left,0.0,0.063125,-1.0,0.0,2.5e-06
left,0.0,0.063375,-1.0,0.0,2.5e-06
left,0.0,0.063625,-1.0,0.0,2.5e-06
left,0.0,0.063875,-1.0,0.0,2.5e-06
left,0.0,0.064125,-1.0,0.0,2.5e-06
left,0.0,0.064375,-1.0,0.0,2.5e-06
left,0.0,0.064625,-1.0,0.0,2.5e-06
left,0.0,0.064875,-1.0,0.0,2.5e-06
left,0.0,0.065125,-1.0,0.0,2.5e-06
left,0.0,0.065375,-1.0,0.0,2.5e-06
left,0.0,0.065625,-1.0,0.0,2.5e-06
left,0.0,0.065875,-1.0,0.0,2.5e-06
left,0.0,0.066125,-1.0,0.0,2.5e-06
left,0.0,0.066375,-1.0,0.0,2.5e-06
left,0.0,0.066625,-1.0,0.0,2.5e-06
left,0.0,0.066875,-1.0,0.0,2.5e-06
left,0.0,0.067125,-1.0,0.0,2.5e-06
left,0.0,0.067375,-1.0,0.0,2.5e-06
left,0.0,0.067625,-1.0,0.0,2.5e-06
left,0.0,0.067875,-1.0,0.0,2.5e-06
left,0.0,0.068125,-1.0,0.0,2.5e-06
left,0.0,0.068375,-1.0,0.0,2.5e-06
left,0.0,0.068625,-1.0,0.0,2.5e-06
left,0.0,0.068875,-1.0,0.0,2.5e-06
left,0.0,0.069125,-1.0,0.0,2.5e-06
left,0.0,0.069375,-1.0,0.0,2.5e-06
left,0.0,0.069625,-1.0,0.0,2.5e-06
left,0.0,0.069875,-1.0,0.0,2.5e-06
left,0.0,0.070125,-1.0,0.0,2.5e-06
left,0.0,0.07037500000000001,-1.0,0.0,2.5e-06
left,0.0,0.07062500000000001,-1.0,0.0,2.5e-06
left,0.0,0.07087500000000001,-1.0,0.0,2.5e-06
left,0.0,0.07112500000000001,-1.0,0.0,2.5e-06
left,0.0,0.07137500000000001,-1.0,0.0,2.5e-06
